name,address,city,zip,sra_id,sra
Capri Elementary,941 Capri Road,Encinitas,92024,40,SAN DIEGUITO
San Pasqual High,3300 Bear Valley Parkway,Escondido,92025,50,ESCONDIDO
Julian Junior High,1704 Cape Horn,Julian,92036,60,PALOMAR-JULIAN
Julian High,1656 Highway 78,Julian,92036,60,PALOMAR-JULIAN
Julian Charter,1704 Cape Horn,Julian,92036,60,PALOMAR-JULIAN
La Costa Canyon High,1 Maverick Way,Encinitas,92009,40,SAN DIEGUITO
Mission Estancia Elementary,3330 Calle Barcelona,Carlsbad,92009,40,SAN DIEGUITO
Olivenhain Pioneer Elementary,8000 Calle Acervo,Carlsbad,92009,40,SAN DIEGUITO
Diegueno Middle,2150 Village Park Way,Encinitas,92024,40,SAN DIEGUITO
Paul Ecke-Central Elementary,185 Union Street,Encinitas,92024,40,SAN DIEGUITO
Flora Vista Elementary,1690 Wandering Road,Encinitas,92024,40,SAN DIEGUITO
Park Dale Lane Elementary,2050 Park Dale Lane,Encinitas,92024,40,SAN DIEGUITO
Sunset High (Continuation),684 Requeza Street,Encinitas,92024,40,SAN DIEGUITO
Oak Crest Middle,675 Balour Drive,Encinitas,92024,40,SAN DIEGUITO
Ocean Knoll Elementary,910 Melba Road,Encinitas,92024,40,SAN DIEGUITO
Ramona Elementary,415 Eighth Street,Ramona,92065,39,RAMONA
San Dieguito HS Academy,800 Santa Fe Drive,Encinitas,92024,40,SAN DIEGUITO
Future Bound Independent Study Secondary,720 Ninth Street,Ramona,92065,39,RAMONA
Montecito High (Continuation),720 Ninth Street,Ramona,92065,39,RAMONA
Mt. Woodson Elementary,17427 Archie Moore Road,Ramona,92065,39,RAMONA
Westwood Elementary,17449 Matinal Road,San Diego,92127,14,NORTH SAN DIEGO
Hanson Elementary,2520 Boundary Avenue,Ramona,92065,39,RAMONA
Olive Peirce Middle,1521 Hanson Lane,Ramona,92065,39,RAMONA
Ramona High,1401 Hanson Lane,Ramona,92065,39,RAMONA
Chaparral Elementary,17250 Tannin Drive,Poway,92064,15,POWAY
R. Roger Rowe Elementary,5927 La Granada,Rancho Santa Fe,92067,40,SAN DIEGUITO
R. Roger Rowe Middle,5927 La Granada,Rancho Santa Fe,92067,40,SAN DIEGUITO
Painted Rock Elementary,16711 Martincoit Road,Poway,92064,15,POWAY
Barnett Elementary,23925 Couna Way,Ramona,92065,39,RAMONA
James Dukes Elementary,24908 Abalar Way,Ramona,92065,39,RAMONA
Solana Vista Elementary,780 Santa Victoria Avenue,Solana Beach,92075,40,SAN DIEGUITO
Turtleback Elementary,15855 Turtleback Road,San Diego,92127,14,NORTH SAN DIEGO
Poway High,15500 Espola Road,Poway,92064,15,POWAY
Skyline Elementary,606 Lomas Santa Fe Drive,Solana Beach,92075,40,SAN DIEGUITO
Solana Santa Fe Elementary,6570 El Apajo,Rancho Santa Fe,92067,14,NORTH SAN DIEGO
Bernardo Heights Middle,12990 Paseo Lucido,San Diego,92128,14,NORTH SAN DIEGO
Earl Warren Middle,155 Stevens Street,Solana Beach,92075,40,SAN DIEGUITO
Rancho Bernardo High,13010 Paseo Lucido,San Diego,92128,14,NORTH SAN DIEGO
Rolling Hills Elementary,15255 Penasquitos Drive,San Diego,92129,14,NORTH SAN DIEGO
Highland Ranch Elementary,14840 Waverley Downs Way,San Diego,92128,14,NORTH SAN DIEGO
