name,address,city,zip,sra_id,sra
KIPP Adelante Preparatory Academy,426 Euclid Avenue,San Diego,92114,5,SOUTHEASTERN SAN DIEGO
TRACE,2375 Congress Street Suite 4,San Diego,92110,2,PENINSULA
Maie Ellis Elementary,400 West Elder Street,Fallbrook,92028,55,FALLBROOK
Fallbrook Homeschool Academy,300 Heald Lane,Fallbrook,92028,55,FALLBROOK
Santa Margarita Academy,400 West Elder Street,Fallbrook,92028,55,FALLBROOK
Alta Vista High (Continuation),1575 Bonair Drive,Vista,92084,52,VISTA
Cesar Chavez Middle,202 Oleander Drive,Oceanside,92057,42,OCEANSIDE
e3 Civic High,"395 11th Ave, 6th Floor",San Diego,92101,1,CENTRAL SAN DIEGO
Coronado Unified Special Education Pre-K,201 6th Street,Coronado,92118,3,CORONADO
Oceanside High,1 Pirates Cove,Oceanside,92054,42,OCEANSIDE
Monte Vista Elementary,1720 Monte Vista Drive,Vista,92084,52,VISTA
High Tech High North County,1420 West San Marcos Boulevard,San Marcos,92078,51,SAN MARCOS
Leonardo da Vinci Health Sciences Charter,229 East Naples Street,Chula Vista,91911,21,CHULA VISTA
High Tech Middle Media Arts,2230 Truxtun Road 2nd Floor,San Diego,92106,2,PENINSULA
Mar Vista Academy,1267 Thermal Avenue,San Diego,92154,22,SOUTH BAY
Del Dios Academy of Arts and Sciences,1400 West Ninth Avenue,Escondido,92025,50,ESCONDIDO
EastLake Elementary,1955 Hillside Drive,Chula Vista,91913,20,SWEETWATER
High Tech Elementary Explorer,2230 Truxtun Road 1st Floor,San Diego,92106,2,PENINSULA
