tract,sra_id,sra,hpi2022,totpop,tothhs,bmi30plus_pct,cancer_pct,copd_pct,chd_pct,diabetes_pct,hbp_pct,stroke_pct,hispanic_pct,nonhisp_pct,aian_pct,asian_pct,black_pct,nhpi_pct,white_pct,race_other_pct,hhs_snap_pct,active_commute,auto_access,insurance,lowincome_bin,median_income,lowphysactiv_pct,park_access,supermkt_access,transit_access,walkability,num_full_restaurants,num_fast_food,num_snack_nonalcbev_bars
6073003208,5,SOUTHEASTERN SAN DIEGO,-0.087629796,6793,2249,0.253,0.043,0.053,0.052,0.127,0.293,0.031,0.4078,0.5922,0.0,0.2324,0.1859,0.0,0.4191,0.0386,0.1312,0.068217542,0.989,0.160933953,Yes,58217.0,0.266,1.0,0.506597047,0.0,11.47082525,1,0,0
6073003209,5,SOUTHEASTERN SAN DIEGO,-0.047949138,5222,1739,0.216,0.038,0.036,0.036,0.095,0.253,0.022,0.301,0.699,0.0,0.4353,0.1586,0.0036,0.2752,0.0741,0.0362,0.011128166,0.987,0.015263475,Yes,59781.0,0.211,1.0,0.391521801,0.0,13.27111661,6,5,2
6073003211,5,SOUTHEASTERN SAN DIEGO,0.013443743,3489,886,0.244,0.056,0.049,0.054,0.117,0.298,0.03,0.5792,0.4208,0.0,0.1998,0.0831,0.002,0.5457,0.1167,0.0688,0.045625,0.967,-0.178383036,No,75708.0,0.238,0.872985782,0.0,0.0,11.57767268,0,0,0
6073003211,5,SOUTHEASTERN SAN DIEGO,0.013443743,3489,886,0.244,0.056,0.049,0.054,0.117,0.298,0.03,0.5792,0.4208,0.0,0.1998,0.0831,0.002,0.5457,0.1167,0.0688,0.045625,0.967,-0.178383036,No,75708.0,0.238,0.872985782,0.0,0.0,11.57767268,0,0,0
6073003213,5,SOUTHEASTERN SAN DIEGO,0.191754206,4420,1055,0.185,0.046,0.036,0.044,0.114,0.287,0.024,0.2161,0.7839,0.0057,0.4814,0.1776,0.0229,0.2455,0.012,0.0379,0.021698984,0.992,0.637470909,No,112318.0,0.211,0.596231815,0.040035272,0.226806582,8.934110263,0,0,0
6073003214,5,SOUTHEASTERN SAN DIEGO,-0.176723033,5141,1551,0.25,0.046,0.046,0.045,0.105,0.277,0.027,0.382,0.618,0.0,0.1906,0.1764,0.0278,0.5036,0.0377,0.0812,0.044916292,0.974,0.168070814,No,71496.0,0.224,0.501084599,0.31895836,0.704338395,12.68579489,2,0,2
6073003301,5,SOUTHEASTERN SAN DIEGO,-0.660035869,3719,955,0.338,0.043,0.062,0.058,0.14,0.336,0.04,0.7209,0.2791,0.0,0.0105,0.2493,0.0,0.3264,0.3775,0.333,0.12973352,0.882,-1.191629085,Yes,47174.0,0.312,0.998501648,0.28318685,1.0,16.35205992,4,4,0
6073003303,5,SOUTHEASTERN SAN DIEGO,-0.668767516,4684,1192,0.325,0.035,0.057,0.05,0.123,0.286,0.032,0.7152,0.2848,0.0175,0.1053,0.0807,0.0,0.3518,0.4127,0.3247,0.084184915,0.919,-2.327166026,Yes,31709.0,0.314,1.0,0.997628009,1.0,10.76810398,0,0,0
6073003304,5,SOUTHEASTERN SAN DIEGO,-0.750028362,4287,1073,0.309,0.039,0.06,0.056,0.131,0.311,0.035,0.6426,0.3574,0.0051,0.1404,0.1113,0.0359,0.5332,0.1185,0.2824,0.106796117,0.87,-2.195922728,Yes,42198.0,0.314,1.0,0.776000618,1.0,14.87698976,28,4,3
6073003304,5,SOUTHEASTERN SAN DIEGO,-0.750028362,4287,1073,0.309,0.039,0.06,0.056,0.131,0.311,0.035,0.6426,0.3574,0.0051,0.1404,0.1113,0.0359,0.5332,0.1185,0.2824,0.106796117,0.87,-2.195922728,Yes,42198.0,0.314,1.0,0.776000618,1.0,14.87698976,28,4,3
6073003401,6,MID-CITY,-0.018986473,7027,2125,0.254,0.054,0.048,0.05,0.107,0.306,0.031,0.2969,0.7031,0.0196,0.1688,0.3159,0.0024,0.371,0.0798,0.0866,0.079246624,0.956,-0.122876672,No,61667.0,0.217,1.0,0.717443025,0.837592745,13.06268316,14,7,0
6073002705,6,MID-CITY,0.08775126,4542,1312,0.219,0.053,0.048,0.054,0.116,0.324,0.03,0.3043,0.6957,0.0086,0.3923,0.1319,0.0,0.3355,0.0403,0.0899,0.027466368,0.961,0.338274521,No,63565.0,0.234,1.0,0.461927337,1.0,13.86232233,1,0,0
6073002707,6,MID-CITY,-0.983260604,5418,1546,0.316,0.032,0.064,0.056,0.135,0.295,0.034,0.5666,0.4334,0.0004,0.2309,0.1515,0.0,0.4317,0.1484,0.3254,0.185116279,0.823,-1.914922116,Yes,35547.0,0.343,1.0,1.0,1.0,14.78926073,13,3,1
6073002708,6,MID-CITY,-0.826724709,5929,2059,0.304,0.039,0.064,0.06,0.133,0.306,0.036,0.5406,0.4594,0.0221,0.1884,0.2167,0.0071,0.4728,0.0634,0.2788,0.183913043,0.718,-2.192794783,Yes,28462.0,0.317,1.0,1.0,1.0,14.1188452,15,2,3
6073002709,6,MID-CITY,-0.902780407,4092,1199,0.323,0.036,0.069,0.058,0.132,0.302,0.036,0.5049,0.4951,0.0,0.1195,0.2529,0.0,0.5147,0.0584,0.3987,0.155193992,0.882,-2.892141063,Yes,33958.0,0.327,1.0,0.912228426,0.718124208,11.16666667,5,0,1
6073002710,6,MID-CITY,-0.502705846,4653,1202,0.287,0.04,0.065,0.059,0.137,0.31,0.037,0.3746,0.6254,0.0,0.3265,0.2153,0.0041,0.3991,0.035,0.2562,0.0625,0.887,-1.646637349,Yes,54973.0,0.317,1.0,0.841836511,0.95269631,11.61819389,3,0,0
6073002711,6,MID-CITY,-0.418573141,3279,871,0.241,0.038,0.04,0.038,0.082,0.234,0.022,0.3132,0.6868,0.0012,0.2153,0.226,0.0107,0.4541,0.0302,0.093,0.021577381,0.976,-0.172807848,Yes,59375.0,0.214,1.0,0.0,0.5125,13.2813922,8,0,0
6073002712,6,MID-CITY,-0.39999854,4958,1785,0.3,0.057,0.07,0.07,0.142,0.346,0.044,0.3584,0.6416,0.005,0.1529,0.2727,0.0054,0.4106,0.0607,0.1333,0.122674934,0.879,-0.4990003,Yes,38152.0,0.283,1.0,0.632786723,0.922398968,12.69171035,2,2,1
6073002801,6,MID-CITY,-0.643207819,3031,859,0.209,0.034,0.048,0.042,0.06,0.191,0.022,0.2415,0.7585,0.0162,0.1264,0.0271,0.0023,0.6641,0.0947,0.0093,0.299205649,0.84,0.705720085,Yes,40318.0,0.182,0.441329857,0.0,0.611799218,12.29915185,20,14,9
6073002803,6,MID-CITY,0.152636408,5248,2321,0.232,0.058,0.056,0.056,0.094,0.286,0.031,0.3024,0.6976,0.0,0.1496,0.0945,0.0,0.6789,0.0501,0.0487,0.072741194,0.879,-0.298870829,Yes,53036.0,0.209,0.82849162,0.828604417,1.0,13.73311185,2,3,1
6073002804,6,MID-CITY,0.018482634,5453,1385,0.236,0.044,0.053,0.048,0.075,0.226,0.025,0.144,0.856,0.0,0.053,0.0699,0.0,0.8217,0.0042,0.0332,0.149063032,0.983,1.060076333,No,82983.0,0.183,0.083656749,0.638424783,1.0,13.24354397,10,2,2
6073002902,6,MID-CITY,0.026365012,7053,2469,0.273,0.055,0.064,0.058,0.098,0.272,0.032,0.2786,0.7214,0.0,0.0842,0.1527,0.0299,0.6339,0.0535,0.0895,0.117174178,0.927,0.623102109,Yes,55878.0,0.225,1.0,0.788757669,1.0,16.68201458,22,12,9
6073002903,6,MID-CITY,0.238083739,4057,1297,0.251,0.058,0.053,0.051,0.093,0.288,0.028,0.3843,0.6157,0.0042,0.1294,0.1035,0.0,0.6857,0.0532,0.1079,0.097758703,0.937,0.024268681,No,67974.0,0.206,1.0,0.482183998,0.663707291,13.88807026,15,1,1
6073002904,6,MID-CITY,-0.609366985,9038,2215,0.23,0.024,0.046,0.032,0.054,0.169,0.018,0.1863,0.8137,0.0,0.1399,0.0671,0.0009,0.6993,0.0293,0.0411,0.19469526,0.936,0.570176637,Yes,34784.0,0.202,0.735237835,0.695034886,1.0,13.81441665,26,13,12
6073002905,6,MID-CITY,-0.033091529,5023,1691,0.248,0.045,0.049,0.043,0.078,0.253,0.024,0.1875,0.8125,0.0127,0.1252,0.2112,0.0,0.5431,0.0183,0.136,0.107605877,0.901,0.099871445,Yes,51830.0,0.19,0.816011934,0.526042379,1.0,15.46598878,33,9,6
6073003001,5,SOUTHEASTERN SAN DIEGO,-0.029485636,4235,1134,0.295,0.056,0.052,0.053,0.127,0.353,0.038,0.4904,0.5096,0.0028,0.0649,0.3481,0.0,0.3976,0.11,0.1587,0.134860051,0.989,-1.347800024,No,79385.0,0.235,1.0,0.179571177,0.475627071,12.56521739,1,1,0
6073003003,5,SOUTHEASTERN SAN DIEGO,-0.223429307,5354,1583,0.285,0.056,0.057,0.056,0.116,0.323,0.034,0.5299,0.4701,0.0256,0.0392,0.1752,0.0045,0.488,0.223,0.0922,0.012987013,0.96,-0.782438958,No,71066.0,0.229,0.898854208,0.019265562,0.0,6.761366927,1,0,0
6073003004,5,SOUTHEASTERN SAN DIEGO,-0.660406765,5115,1374,0.33,0.041,0.059,0.055,0.128,0.296,0.034,0.7157,0.2843,0.0,0.0592,0.1447,0.0,0.364,0.3568,0.1557,0.056390977,0.906,-1.562853335,Yes,49708.0,0.301,1.0,0.192862181,0.831578947,12.4455283,0,0,0
6073003101,5,SOUTHEASTERN SAN DIEGO,-0.380497433,3977,1091,0.327,0.059,0.065,0.069,0.154,0.386,0.049,0.5801,0.4199,0.0264,0.0312,0.3379,0.0,0.3307,0.2414,0.0825,0.144661309,0.964,-1.446646648,Yes,54511.0,0.275,1.0,0.887544319,1.0,12.1346849,0,0,0
6073003103,5,SOUTHEASTERN SAN DIEGO,-0.290399749,6485,1615,0.29,0.052,0.056,0.055,0.131,0.343,0.037,0.4278,0.5722,0.0068,0.1547,0.3305,0.0109,0.2662,0.1673,0.1146,0.075655431,0.98,-1.242248796,No,68553.0,0.252,1.0,0.738047798,0.866847826,11.914399,1,0,0
6073003105,5,SOUTHEASTERN SAN DIEGO,-0.121737969,4674,1124,0.275,0.05,0.049,0.05,0.112,0.292,0.029,0.7219,0.2781,0.0137,0.0593,0.0757,0.003,0.3733,0.4009,0.1815,0.017552182,0.962,-1.186174413,No,70870.0,0.244,1.0,0.905792571,0.361171106,13.41426538,2,1,1
6073003107,5,SOUTHEASTERN SAN DIEGO,-0.057979821,6187,1651,0.264,0.052,0.053,0.055,0.127,0.319,0.033,0.3378,0.6622,0.0,0.283,0.1595,0.0063,0.3992,0.0999,0.0636,0.068419157,0.966,0.431617952,No,73897.0,0.245,1.0,0.98974605,0.52670227,12.82568858,10,4,2
6073003108,5,SOUTHEASTERN SAN DIEGO,-0.165549318,3988,1008,0.268,0.053,0.052,0.05,0.104,0.298,0.028,0.578,0.422,0.0,0.1226,0.0554,0.0171,0.5594,0.1891,0.1736,0.005148741,0.943,-1.161090665,No,82143.0,0.227,0.800284091,0.950646475,0.003977273,13.5914144,3,3,1
6073003109,5,SOUTHEASTERN SAN DIEGO,0.224913809,3589,832,0.156,0.044,0.035,0.045,0.119,0.281,0.024,0.1056,0.8944,0.0,0.7127,0.0499,0.0,0.1262,0.0627,0.0721,0.038892551,0.992,0.289764592,No,82955.0,0.222,1.0,0.0,0.131923764,11.11753427,0,0,0
6073003111,5,SOUTHEASTERN SAN DIEGO,-0.513509315,7190,1726,0.288,0.046,0.06,0.06,0.14,0.329,0.038,0.5527,0.4473,0.0127,0.2051,0.1969,0.0,0.2255,0.3288,0.2509,0.086055777,0.859,-1.002424982,Yes,42073.0,0.287,1.0,0.481401232,0.896975578,11.43584167,1,0,0
6073003112,5,SOUTHEASTERN SAN DIEGO,-0.473913617,4831,1289,0.271,0.047,0.05,0.051,0.125,0.315,0.032,0.3761,0.6239,0.0141,0.3012,0.2116,0.0,0.2567,0.1784,0.18,0.039731393,0.979,-0.008167457,No,72125.0,0.245,1.0,0.001711842,1.0,13.0,4,1,1
6073003113,5,SOUTHEASTERN SAN DIEGO,-0.100135784,5339,1218,0.204,0.049,0.044,0.052,0.13,0.313,0.03,0.1826,0.8174,0.0,0.5988,0.1251,0.0049,0.1553,0.0787,0.0189,0.018266615,0.994,-0.918046376,No,88707.0,0.238,1.0,0.025911279,0.697997224,13.18849557,0,0,0
6073003114,5,SOUTHEASTERN SAN DIEGO,0.083741365,3577,788,0.187,0.043,0.038,0.045,0.12,0.288,0.026,0.1387,0.8613,0.007,0.5902,0.151,0.0,0.1459,0.0565,0.052,0.089041096,0.992,-0.276876366,No,99934.0,0.222,1.0,0.005055114,1.0,12.81596829,0,0,0
6073003115,5,SOUTHEASTERN SAN DIEGO,-0.358418662,6952,1808,0.23,0.05,0.053,0.06,0.14,0.322,0.034,0.3997,0.6003,0.0091,0.3317,0.1174,0.0263,0.3147,0.1466,0.2633,0.066344994,0.861,-0.193033234,Yes,59882.0,0.269,1.0,0.488723489,0.643786799,11.95094996,5,3,0
6073006600,2,PENINSULA,-1.066312163,1752,444,0.284,0.022,0.033,0.02,0.047,0.182,0.014,0.1906,0.8094,0.024,0.1033,0.149,0.0,0.6598,0.0171,0.1081,0.033464567,0.971,0.247855019,Yes,51250.0,0.201,0.7921875,1.0,0.3,17.33333333,10,6,3
6073006801,2,PENINSULA,0.209877001,2547,1303,0.225,0.055,0.041,0.04,0.064,0.234,0.021,0.0895,0.9105,0.0063,0.0338,0.0927,0.0,0.8437,0.0,0.0744,0.013505218,0.943,-0.428090581,No,73696.0,0.146,1.0,0.721462774,0.0,16.16666667,15,5,5
6073006802,2,PENINSULA,-0.034418244,5498,2393,0.234,0.049,0.043,0.04,0.067,0.23,0.022,0.2021,0.7979,0.0,0.1142,0.0531,0.0,0.7834,0.0135,0.0878,0.095877277,0.931,0.104655886,No,73224.0,0.164,0.827702703,1.0,0.120031797,15.42756173,27,13,4
6073006900,2,PENINSULA,0.65769546,5721,2090,0.222,0.07,0.046,0.05,0.073,0.27,0.025,0.2003,0.7997,0.0047,0.0572,0.0,0.0031,0.861,0.0147,0.0196,0.055888224,0.977,0.111908842,No,111936.0,0.146,0.942113442,1.0,0.0,12.05432142,7,2,8
6073007002,2,PENINSULA,0.85844414,2982,1158,0.209,0.095,0.048,0.06,0.081,0.315,0.029,0.117,0.883,0.0,0.0389,0.052,0.0044,0.8612,0.0205,0.0199,0.069359087,0.992,0.948492962,No,150673.0,0.136,0.418052257,0.700534778,0.0,13.10953825,1,0,0
6073007100,1,PENINSULA,0.485560698,4665,2093,0.209,0.094,0.049,0.063,0.084,0.322,0.029,0.0716,0.9284,0.0,0.0081,0.0223,0.0,0.9323,0.0191,0.0,0.042129901,0.952,1.228041614,No,115664.0,0.136,1.0,0.281942236,0.0,14.49911366,32,12,10
6073007100,2,PENINSULA,0.485560698,4665,2093,0.209,0.094,0.049,0.063,0.084,0.322,0.029,0.0716,0.9284,0.0,0.0081,0.0223,0.0,0.9323,0.0191,0.0,0.042129901,0.952,1.228041614,No,115664.0,0.136,1.0,0.281942236,0.0,14.49911366,32,12,10
